City,Economic Need Index,School Income Estimate,Percent ELL,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Average Proficiency
New York,0.068,181382.06,4%,96%,6%,95%,Meeting Target,94%,Meeting Target,98%,Exceeding Target,90%,Exceeding Target,93%,Exceeding Target,97%,Exceeding Target,Exceeding Target,3.23,3.71,3.47
New York,0.645,70970.41,12%,92%,26%,89%,Approaching Target,79%,Approaching Target,81%,Approaching Target,74%,Approaching Target,88%,Meeting Target,86%,Meeting Target,Meeting Target,2.39,2.47,2.43
New York,0.307,96174.16,11%,95%,14%,92%,Exceeding Target,92%,Exceeding Target,95%,Meeting Target,83%,Meeting Target,90%,Exceeding Target,92%,Meeting Target,Meeting Target,3.07,3.17,3.12
New York,0.578,42493.71,29%,98%,2%,83%,Approaching Target,77%,Approaching Target,94%,Exceeding Target,65%,Approaching Target,80%,Approaching Target,85%,Meeting Target,Exceeding Target,3.1,3.55,3.325
New York,0.728,38919.61,17%,96%,10%,91%,Exceeding Target,93%,Exceeding Target,91%,Exceeding Target,89%,Exceeding Target,82%,Approaching Target,95%,Exceeding Target,Exceeding Target,2.93,3.29,3.11
New York,0.616,59851.21,13%,99%,2%,98%,Meeting Target,97%,Exceeding Target,97%,Exceeding Target,96%,Exceeding Target,90%,Exceeding Target,99%,Exceeding Target,Exceeding Target,3.09,3.61,3.35
New York,0.196,132795.44,2%,95%,5%,95%,Meeting Target,90%,Meeting Target,96%,Exceeding Target,90%,Exceeding Target,95%,Exceeding Target,97%,Exceeding Target,Exceeding Target,3.37,3.43,3.4
New York,0.367,81690.71,7%,94%,16%,96%,Exceeding Target,96%,Meeting Target,93%,Meeting Target,90%,Exceeding Target,92%,Exceeding Target,95%,Exceeding Target,Meeting Target,2.83,3.2,3.015
New York,0.11,94194.68,5%,96%,8%,96%,Exceeding Target,87%,Exceeding Target,96%,Exceeding Target,80%,Meeting Target,89%,Meeting Target,89%,Meeting Target,Exceeding Target,3.49,3.74,3.615
New York,0.074,104700.89,6%,96%,7%,85%,Meeting Target,94%,Exceeding Target,94%,Exceeding Target,88%,Exceeding Target,93%,Exceeding Target,95%,Exceeding Target,Exceeding Target,3.26,3.39,3.325
New York,0.365,81932.76,7%,94%,19%,89%,Approaching Target,90%,Approaching Target,86%,Meeting Target,78%,Meeting Target,95%,Exceeding Target,93%,Meeting Target,Meeting Target,2.73,2.97,2.85
New York,0.2,85295.72,2%,96%,5%,93%,Exceeding Target,98%,Exceeding Target,97%,Exceeding Target,97%,Exceeding Target,97%,Exceeding Target,99%,Exceeding Target,Meeting Target,3.14,3.45,3.295
New York,0.429,58096.58,3%,92%,26%,91%,Exceeding Target,91%,Exceeding Target,93%,Meeting Target,82%,Meeting Target,95%,Exceeding Target,90%,Meeting Target,Meeting Target,2.71,2.75,2.73
New York,0.065,176793.4,1%,96%,6%,92%,Exceeding Target,90%,Exceeding Target,97%,Exceeding Target,76%,Approaching Target,94%,Exceeding Target,87%,Meeting Target,Exceeding Target,3.25,3.55,3.4
New York,0.114,140085.12,2%,96%,8%,92%,Exceeding Target,94%,Meeting Target,88%,Meeting Target,92%,Exceeding Target,90%,Exceeding Target,93%,Meeting Target,Meeting Target,3.16,3.32,3.24
New York,0.064,107878.64,3%,96%,6%,92%,Exceeding Target,96%,Exceeding Target,97%,Exceeding Target,92%,Exceeding Target,93%,Exceeding Target,97%,Exceeding Target,Exceeding Target,3.37,3.75,3.56
New York,0.812,51287.22,6%,92%,29%,82%,Meeting Target,68%,Not Meeting Target,91%,Meeting Target,53%,Not Meeting Target,82%,Approaching Target,82%,Meeting Target,Meeting Target,2.32,2.23,2.275
New York,0.059,143926.53,2%,96%,6%,97%,Meeting Target,93%,Meeting Target,97%,Exceeding Target,93%,Exceeding Target,94%,Exceeding Target,95%,Meeting Target,Exceeding Target,3.29,3.58,3.435
New York,0.468,56095.12,0%,96%,7%,98%,Exceeding Target,98%,Exceeding Target,92%,Meeting Target,94%,Exceeding Target,84%,Meeting Target,95%,Exceeding Target,Exceeding Target,3.21,3.65,3.43
New York,0.221,95312.63,3%,96%,6%,100%,Exceeding Target,95%,Exceeding Target,99%,Exceeding Target,91%,Exceeding Target,90%,Exceeding Target,96%,Exceeding Target,Exceeding Target,3.38,3.66,3.52
New York,0.599,56614.57,13%,94%,22%,93%,Meeting Target,88%,Meeting Target,92%,Meeting Target,80%,Meeting Target,92%,Exceeding Target,92%,Meeting Target,Exceeding Target,2.63,2.83,2.73
New York,0.85,39051.13,9%,90%,42%,91%,Meeting Target,95%,Meeting Target,93%,Meeting Target,89%,Exceeding Target,89%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.39,2.24,2.315
New York,0.5,64633.18,10%,95%,14%,92%,Meeting Target,94%,Exceeding Target,97%,Exceeding Target,81%,Meeting Target,89%,Meeting Target,93%,Meeting Target,Meeting Target,2.76,3,2.88
New York,0.099,111115.15,4%,96%,6%,92%,Meeting Target,80%,Approaching Target,97%,Meeting Target,69%,Not Meeting Target,93%,Exceeding Target,84%,Approaching Target,Exceeding Target,3.38,3.59,3.485
New York,0.843,44727.39,13%,91%,35%,91%,Approaching Target,85%,Meeting Target,89%,Approaching Target,76%,Approaching Target,82%,Approaching Target,84%,Approaching Target,Approaching Target,2.12,2.16,2.14
New York,0.883,37110.83,9%,91%,37%,83%,Approaching Target,70%,Not Meeting Target,77%,Approaching Target,60%,Not Meeting Target,81%,Approaching Target,82%,Approaching Target,Approaching Target,2.1,2.03,2.065
New York,0.503,64272.58,7%,95%,13%,89%,Approaching Target,82%,Meeting Target,91%,Meeting Target,59%,Not Meeting Target,91%,Meeting Target,78%,Approaching Target,Meeting Target,2.99,3.3,3.145
New York,0.739,48783.74,17%,91%,29%,87%,Meeting Target,82%,Meeting Target,87%,Meeting Target,73%,Approaching Target,86%,Meeting Target,85%,Approaching Target,Meeting Target,2.37,2.41,2.39
New York,0.217,98595.22,2%,96%,8%,84%,Meeting Target,86%,Meeting Target,95%,Meeting Target,68%,Approaching Target,90%,Meeting Target,84%,Approaching Target,Meeting Target,3.3,3.54,3.42
New York,0.69,51468.6,5%,94%,19%,86%,Meeting Target,86%,Exceeding Target,86%,Meeting Target,85%,Meeting Target,90%,Exceeding Target,90%,Meeting Target,Approaching Target,2.48,2.44,2.46
New York,0.758,63947.38,8%,91%,33%,82%,Approaching Target,79%,Approaching Target,82%,Approaching Target,70%,Approaching Target,88%,Meeting Target,88%,Meeting Target,Approaching Target,2.23,2.1,2.165
New York,0.078,115897.33,3%,96%,5%,94%,Exceeding Target,93%,Exceeding Target,99%,Exceeding Target,90%,Exceeding Target,94%,Exceeding Target,95%,Exceeding Target,Exceeding Target,3.36,3.68,3.52
New York,0.875,30321.85,11%,93%,26%,88%,Meeting Target,90%,Meeting Target,82%,Meeting Target,81%,Meeting Target,85%,Meeting Target,91%,Meeting Target,Approaching Target,2.25,2.24,2.245
New York,0.886,38655.2,7%,90%,37%,96%,Approaching Target,76%,Approaching Target,82%,Approaching Target,62%,Not Meeting Target,83%,Approaching Target,75%,Approaching Target,Meeting Target,2.18,2.52,2.35
New York,0.233,72112.72,1%,95%,9%,93%,Exceeding Target,87%,Exceeding Target,88%,Meeting Target,79%,Meeting Target,94%,Exceeding Target,91%,Meeting Target,Meeting Target,3.09,3.03,3.06
New York,0.134,89026.73,0%,98%,1%,90%,Exceeding Target,90%,Exceeding Target,92%,Exceeding Target,87%,Meeting Target,93%,Exceeding Target,92%,Meeting Target,Exceeding Target,3.93,4.15,4.04
New York,0.253,76791.47,1%,96%,7%,96%,Exceeding Target,97%,Exceeding Target,91%,Exceeding Target,95%,Exceeding Target,91%,Exceeding Target,95%,Exceeding Target,Exceeding Target,3.67,3.85,3.76
New York,0.899,24553.59,12%,90%,34%,90%,Meeting Target,86%,Exceeding Target,83%,Approaching Target,82%,Meeting Target,84%,Meeting Target,87%,Meeting Target,Exceeding Target,2.43,2.52,2.475
New York,0.435,48431.58,0%,97%,5%,92%,Exceeding Target,92%,Exceeding Target,91%,Exceeding Target,86%,Meeting Target,87%,Meeting Target,90%,Meeting Target,Exceeding Target,3.64,3.89,3.765
New York,0.779,28310.81,4%,92%,28%,90%,Meeting Target,88%,Exceeding Target,92%,Meeting Target,74%,Approaching Target,86%,Meeting Target,93%,Meeting Target,Meeting Target,2.5,2.44,2.47
New York,0.915,34567.95,10%,88%,50%,87%,Approaching Target,77%,Not Meeting Target,76%,Approaching Target,68%,Approaching Target,82%,Approaching Target,82%,Approaching Target,Meeting Target,2.14,2.12,2.13
New York,0.885,26905.07,12%,92%,28%,92%,Meeting Target,85%,Meeting Target,85%,Meeting Target,81%,Meeting Target,82%,Approaching Target,91%,Meeting Target,Exceeding Target,2.46,2.57,2.515
New York,0.866,33728.15,11%,92%,30%,90%,Meeting Target,90%,Exceeding Target,94%,Exceeding Target,82%,Meeting Target,87%,Meeting Target,92%,Meeting Target,Meeting Target,2.32,2.4,2.36
New York,0.772,31874.34,9%,93%,25%,88%,Approaching Target,90%,Meeting Target,90%,Meeting Target,85%,Meeting Target,87%,Meeting Target,98%,Exceeding Target,Exceeding Target,2.76,2.8,2.78
New York,0.902,25392.85,18%,91%,37%,88%,Approaching Target,85%,Meeting Target,89%,Meeting Target,77%,Approaching Target,77%,Not Meeting Target,88%,Approaching Target,Meeting Target,2.17,2.03,2.1
New York,0.833,29590.37,12%,91%,35%,86%,Approaching Target,78%,Approaching Target,84%,Approaching Target,68%,Approaching Target,87%,Meeting Target,88%,Meeting Target,Meeting Target,2.32,2.39,2.355
New York,0.843,27911.28,13%,91%,34%,87%,Approaching Target,80%,Approaching Target,86%,Approaching Target,67%,Approaching Target,83%,Approaching Target,86%,Meeting Target,Meeting Target,2.29,2.31,2.3
New York,0.903,29414.74,19%,92%,29%,77%,Approaching Target,71%,Approaching Target,80%,Approaching Target,65%,Approaching Target,90%,Meeting Target,84%,Meeting Target,Meeting Target,2.14,2.19,2.165
New York,0.902,27577.94,40%,93%,25%,84%,Approaching Target,79%,Approaching Target,91%,Meeting Target,74%,Approaching Target,85%,Meeting Target,79%,Approaching Target,Meeting Target,2.16,2.17,2.165
New York,0.751,31078.32,3%,94%,19%,92%,Exceeding Target,83%,Meeting Target,95%,Exceeding Target,71%,Approaching Target,87%,Meeting Target,89%,Meeting Target,Exceeding Target,2.85,3.08,2.965
New York,0.859,31668.33,36%,94%,18%,93%,Approaching Target,85%,Approaching Target,91%,Meeting Target,60%,Not Meeting Target,84%,Approaching Target,80%,Approaching Target,Meeting Target,2.37,2.71,2.54
New York,0.817,27376.45,14%,93%,25%,83%,Approaching Target,85%,Meeting Target,85%,Meeting Target,80%,Meeting Target,82%,Approaching Target,91%,Meeting Target,Meeting Target,2.36,2.54,2.45
New York,0.917,29237.2,9%,92%,27%,89%,Meeting Target,86%,Exceeding Target,89%,Meeting Target,75%,Approaching Target,86%,Meeting Target,86%,Approaching Target,Meeting Target,2.23,2.25,2.24
New York,0.383,47895.96,1%,95%,14%,100%,Meeting Target,97%,Exceeding Target,98%,Exceeding Target,95%,Exceeding Target,96%,Exceeding Target,94%,Exceeding Target,Approaching Target,2.67,2.58,2.625
New York,0.46,42839.62,1%,93%,18%,95%,Exceeding Target,98%,Exceeding Target,97%,Exceeding Target,98%,Exceeding Target,94%,Exceeding Target,97%,Exceeding Target,Meeting Target,2.96,3.08,3.02
New York,0.896,26581.16,9%,89%,40%,94%,Meeting Target,91%,Meeting Target,92%,Meeting Target,83%,Meeting Target,88%,Meeting Target,92%,Meeting Target,Approaching Target,2.27,2.18,2.225
New York,0.839,35932.05,7%,90%,44%,90%,Approaching Target,81%,Approaching Target,83%,Approaching Target,72%,Approaching Target,82%,Approaching Target,87%,Approaching Target,Approaching Target,2.19,2.3,2.245
New York,0.903,23035.78,9%,90%,39%,91%,Meeting Target,89%,Meeting Target,85%,Meeting Target,81%,Meeting Target,80%,Approaching Target,90%,Meeting Target,Approaching Target,2.19,2.19,2.19
New York,0.897,32865.04,12%,90%,37%,87%,Approaching Target,88%,Approaching Target,91%,Meeting Target,78%,Meeting Target,86%,Meeting Target,90%,Meeting Target,Approaching Target,2.2,2.22,2.21
New York,0.835,34752.53,17%,88%,49%,83%,Approaching Target,72%,Approaching Target,84%,Approaching Target,65%,Not Meeting Target,82%,Approaching Target,81%,Approaching Target,Approaching Target,2.11,2,2.055
New York,0.805,35891.53,11%,91%,38%,83%,Approaching Target,90%,Meeting Target,96%,Meeting Target,92%,Exceeding Target,89%,Meeting Target,95%,Exceeding Target,Exceeding Target,2.81,3.12,2.965
New York,0.854,31077.89,11%,92%,33%,90%,Approaching Target,91%,Approaching Target,82%,Approaching Target,76%,Approaching Target,81%,Approaching Target,89%,Meeting Target,Meeting Target,2.38,2.29,2.335
New York,0.875,33344.03,6%,91%,34%,84%,Approaching Target,73%,Approaching Target,76%,Approaching Target,47%,Not Meeting Target,76%,Not Meeting Target,77%,Approaching Target,Meeting Target,2.21,2.19,2.2
New York,0.899,28358.99,15%,92%,31%,91%,Approaching Target,87%,Meeting Target,93%,Meeting Target,79%,Approaching Target,82%,Approaching Target,85%,Approaching Target,Approaching Target,2.15,2.16,2.155
New York,0.875,29854.02,27%,91%,35%,89%,Meeting Target,89%,Meeting Target,85%,Meeting Target,79%,Meeting Target,86%,Meeting Target,90%,Meeting Target,Meeting Target,2.28,2.38,2.33
New York,0.893,34273.8,12%,91%,39%,93%,Meeting Target,92%,Meeting Target,91%,Meeting Target,78%,Meeting Target,84%,Approaching Target,87%,Approaching Target,Approaching Target,2.14,2.26,2.2
New York,0.898,30519.96,18%,90%,47%,91%,Approaching Target,73%,Approaching Target,94%,Approaching Target,49%,Not Meeting Target,87%,Meeting Target,67%,Not Meeting Target,Approaching Target,2,2.02,2.01
New York,0.874,34797.1,6%,88%,47%,94%,Approaching Target,92%,Approaching Target,92%,Approaching Target,92%,Exceeding Target,92%,Exceeding Target,95%,Exceeding Target,Meeting Target,2.21,2.27,2.24
New York,0.892,34610.48,11%,88%,46%,83%,Approaching Target,88%,Approaching Target,89%,Approaching Target,81%,Meeting Target,85%,Meeting Target,92%,Meeting Target,Approaching Target,2.12,2.13,2.125
New York,0.783,33466.58,2%,91%,31%,97%,Meeting Target,91%,Meeting Target,89%,Meeting Target,84%,Meeting Target,93%,Exceeding Target,92%,Exceeding Target,Approaching Target,2.59,2.58,2.585
New York,0.844,34684.21,40%,92%,33%,91%,Meeting Target,84%,Meeting Target,87%,Approaching Target,74%,Approaching Target,82%,Approaching Target,88%,Meeting Target,Approaching Target,2.24,2.33,2.285
New York,0.851,29783.6,46%,93%,26%,89%,Meeting Target,86%,Meeting Target,90%,Meeting Target,68%,Approaching Target,86%,Meeting Target,89%,Meeting Target,Approaching Target,2.11,2.28,2.195
New York,0.841,33529.45,31%,93%,20%,91%,Exceeding Target,86%,Exceeding Target,85%,Approaching Target,82%,Meeting Target,89%,Meeting Target,91%,Meeting Target,Meeting Target,2.25,2.34,2.295
New York,0.823,44006.21,44%,93%,23%,92%,Meeting Target,87%,Meeting Target,86%,Meeting Target,79%,Meeting Target,85%,Meeting Target,90%,Meeting Target,Meeting Target,2.1,2.36,2.23
New York,0.901,37015.04,32%,94%,20%,96%,Exceeding Target,96%,Meeting Target,96%,Exceeding Target,87%,Meeting Target,85%,Meeting Target,95%,Meeting Target,Meeting Target,2.32,2.64,2.48
New York,0.801,45688.6,30%,94%,16%,86%,Meeting Target,88%,Meeting Target,89%,Meeting Target,83%,Meeting Target,84%,Meeting Target,94%,Exceeding Target,Meeting Target,2.26,2.41,2.335
New York,0.856,40151.07,38%,93%,26%,85%,Approaching Target,74%,Approaching Target,87%,Approaching Target,69%,Approaching Target,86%,Meeting Target,84%,Approaching Target,Approaching Target,2.15,2.3,2.225
New York,0.882,30569.26,33%,92%,27%,93%,Meeting Target,88%,Meeting Target,94%,Meeting Target,72%,Approaching Target,84%,Approaching Target,89%,Meeting Target,Meeting Target,2.13,2.35,2.24
New York,0.817,34767.56,28%,91%,29%,92%,Meeting Target,93%,Exceeding Target,94%,Meeting Target,89%,Exceeding Target,89%,Meeting Target,94%,Meeting Target,Approaching Target,2.2,2.39,2.295
New York,0.857,35210.09,46%,95%,14%,87%,Approaching Target,80%,Approaching Target,90%,Meeting Target,72%,Approaching Target,85%,Meeting Target,84%,Approaching Target,Meeting Target,2.22,2.25,2.235
New York,0.869,39043.45,29%,94%,22%,91%,Meeting Target,87%,Meeting Target,89%,Meeting Target,79%,Meeting Target,84%,Meeting Target,88%,Meeting Target,Meeting Target,2.25,2.46,2.355
New York,0.834,37102.07,29%,93%,26%,96%,Exceeding Target,86%,Exceeding Target,95%,Meeting Target,82%,Meeting Target,87%,Meeting Target,86%,Approaching Target,Meeting Target,2.34,2.54,2.44
New York,0.75,39010.66,16%,93%,24%,90%,Meeting Target,76%,Meeting Target,87%,Approaching Target,64%,Not Meeting Target,77%,Not Meeting Target,80%,Approaching Target,Meeting Target,2.36,2.67,2.515
New York,0.406,68615.55,7%,95%,11%,91%,Meeting Target,91%,Meeting Target,88%,Meeting Target,82%,Meeting Target,90%,Exceeding Target,89%,Meeting Target,Meeting Target,2.84,2.98,2.91
New York,0.872,36511.02,29%,94%,18%,90%,Meeting Target,86%,Meeting Target,91%,Meeting Target,80%,Meeting Target,85%,Meeting Target,89%,Meeting Target,Meeting Target,2.3,2.48,2.39
New York,0.829,41056.33,25%,92%,26%,92%,Approaching Target,83%,Approaching Target,93%,Meeting Target,69%,Approaching Target,88%,Meeting Target,82%,Approaching Target,Approaching Target,2.2,2.35,2.275
New York,0.8,36575.2,33%,95%,12%,94%,Meeting Target,92%,Meeting Target,91%,Exceeding Target,83%,Meeting Target,86%,Meeting Target,91%,Meeting Target,Exceeding Target,2.46,2.62,2.54
New York,0.604,50767.71,12%,95%,13%,97%,Exceeding Target,96%,Meeting Target,94%,Exceeding Target,90%,Exceeding Target,86%,Meeting Target,96%,Exceeding Target,Meeting Target,2.76,2.86,2.81
New York,0.713,42610.02,22%,96%,7%,86%,Meeting Target,89%,Meeting Target,86%,Meeting Target,80%,Meeting Target,92%,Exceeding Target,91%,Meeting Target,Approaching Target,2.45,2.48,2.465
New York,0.429,52781.49,4%,95%,7%,99%,Meeting Target,96%,Meeting Target,97%,Exceeding Target,95%,Exceeding Target,96%,Exceeding Target,96%,Exceeding Target,Exceeding Target,2.98,3.04,3.01
New York,0.864,40828.12,32%,93%,27%,88%,Approaching Target,88%,Meeting Target,93%,Meeting Target,78%,Meeting Target,83%,Approaching Target,91%,Meeting Target,Approaching Target,2.14,2.19,2.165
New York,0.777,36559.91,17%,94%,13%,95%,Meeting Target,89%,Exceeding Target,92%,Meeting Target,84%,Meeting Target,88%,Meeting Target,92%,Meeting Target,Meeting Target,2.57,2.72,2.645
New York,0.756,38325.28,16%,92%,27%,95%,Approaching Target,93%,Meeting Target,85%,Approaching Target,88%,Meeting Target,93%,Exceeding Target,92%,Meeting Target,Approaching Target,2.22,2.38,2.3
Bronx,0.915,23144.32,25%,92%,33%,90%,Meeting Target,89%,Meeting Target,90%,Meeting Target,78%,Approaching Target,83%,Meeting Target,91%,Meeting Target,Approaching Target,2.19,2.23,2.21
Bronx,0.905,22754.7,24%,91%,36%,90%,Meeting Target,87%,Meeting Target,81%,Approaching Target,79%,Meeting Target,82%,Approaching Target,85%,Approaching Target,Approaching Target,2.15,2.11,2.13
Bronx,0.914,22635.63,26%,92%,29%,88%,Meeting Target,90%,Meeting Target,90%,Meeting Target,82%,Meeting Target,83%,Meeting Target,93%,Meeting Target,Meeting Target,2.17,2.39,2.28
Bronx,0.863,26194.38,14%,93%,23%,93%,Meeting Target,89%,Meeting Target,91%,Meeting Target,80%,Meeting Target,82%,Approaching Target,90%,Meeting Target,Meeting Target,2.37,2.42,2.395
Bronx,0.891,23911.23,13%,91%,35%,90%,Exceeding Target,91%,Exceeding Target,92%,Meeting Target,81%,Meeting Target,84%,Meeting Target,93%,Meeting Target,Approaching Target,2.12,2.12,2.12
Bronx,0.923,22281.39,17%,90%,40%,87%,Approaching Target,90%,Meeting Target,91%,Meeting Target,84%,Meeting Target,90%,Exceeding Target,91%,Meeting Target,Approaching Target,2.09,2.15,2.12
Bronx,0.878,28918.55,13%,90%,39%,86%,Approaching Target,86%,Meeting Target,85%,Approaching Target,79%,Meeting Target,81%,Approaching Target,89%,Meeting Target,Approaching Target,2.09,2.04,2.065
Bronx,0.91,20902.4,9%,91%,33%,89%,Approaching Target,95%,Meeting Target,90%,Meeting Target,84%,Meeting Target,86%,Meeting Target,96%,Exceeding Target,Exceeding Target,2.29,2.46,2.375
Bronx,0.924,22392.38,16%,92%,30%,87%,Approaching Target,83%,Meeting Target,81%,Approaching Target,74%,Approaching Target,83%,Approaching Target,85%,Meeting Target,Meeting Target,2.19,2.45,2.32
Bronx,0.957,22507.91,12%,89%,48%,92%,Meeting Target,88%,Meeting Target,88%,Approaching Target,82%,Meeting Target,84%,Approaching Target,91%,Meeting Target,Approaching Target,2.06,2.12,2.09
Bronx,0.912,18984.33,10%,93%,25%,93%,Meeting Target,95%,Meeting Target,92%,Exceeding Target,91%,Exceeding Target,84%,Meeting Target,96%,Exceeding Target,Meeting Target,2.29,2.33,2.31
Bronx,0.879,26508.27,9%,90%,41%,92%,Exceeding Target,91%,Exceeding Target,93%,Meeting Target,80%,Meeting Target,82%,Approaching Target,92%,Meeting Target,Meeting Target,2.32,2.41,2.365
Bronx,0.906,25153.14,19%,91%,37%,90%,Approaching Target,87%,Meeting Target,91%,Meeting Target,71%,Approaching Target,79%,Approaching Target,86%,Meeting Target,Meeting Target,2.33,2.48,2.405
